推广创意,ID,推广计划,推广单元,计划类型,状态,创意图片,商品SKU,落地页地址,到期时间,创意尺寸,展现数,点击数,点击率(%),总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,直接购物车数,间接购物车数,总购物车数,转化率(%),ROI,CPA,资源位,
71816873169-智能手表,3674867315,华为手表GT2,华为手表GT2,商品,暂停,jfs/t1/174815/38/5281/168782/607d3497E6a3fb87b/73b09fd0a26045c7.jpg,71816873169,https://item.jd.com/71816873169.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
71816873167-智能手表,3674867313,华为手表GT2,华为手表GT2,商品,有效,jfs/t1/175856/30/6501/172629/6084fb74Ef4376122/83a0a960ad28855d.jpg,71816873167,https://item.jd.com/71816873167.html,不限,350×350,3527,193,5.47,119.58,33.90,0.62,0,0.00,2,2976.00,2,2976.00,9,4,13,1.04,24.89,59.79,汇总,
71816873167-智能手表,3674867313,华为手表GT2,华为手表GT2,商品,有效,jfs/t1/175856/30/6501/172629/6084fb74Ef4376122/83a0a960ad28855d.jpg,71816873167,https://item.jd.com/71816873167.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
71816873167-智能手表,3674867313,华为手表GT2,华为手表GT2,商品,有效,jfs/t1/175856/30/6501/172629/6084fb74Ef4376122/83a0a960ad28855d.jpg,71816873167,https://item.jd.com/71816873167.html,不限,350×350,1147,83,7.24,58.45,50.96,0.70,0,0.00,2,2976.00,2,2976.00,6,4,10,2.41,50.92,29.23,搜索,
71816873167-智能手表,3674867313,华为手表GT2,华为手表GT2,商品,有效,jfs/t1/175856/30/6501/172629/6084fb74Ef4376122/83a0a960ad28855d.jpg,71816873167,https://item.jd.com/71816873167.html,不限,350×350,2380,110,4.62,61.13,25.68,0.56,0,0.00,0,0.00,0,0.00,3,0,3,0.00,0.00,0.00,商品,
71816873165-智能手表-copy-copy,3674858940,华为手表GT2,华为手表GT2,商品,有效,jfs/t1/171829/31/6451/171227/6084fb53E0cfff3f0/e2394d2bed409dd9.jpg,71816873165,https://item.jd.com/71816873165.html,不限,350×350,4784,359,7.50,337.04,70.45,0.94,8,11904.00,3,9595.00,11,21499.00,30,9,39,3.06,63.79,30.64,汇总,
71816873165-智能手表-copy-copy,3674858940,华为手表GT2,华为手表GT2,商品,有效,jfs/t1/171829/31/6451/171227/6084fb53E0cfff3f0/e2394d2bed409dd9.jpg,71816873165,https://item.jd.com/71816873165.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
71816873165-智能手表-copy-copy,3674858940,华为手表GT2,华为手表GT2,商品,有效,jfs/t1/171829/31/6451/171227/6084fb53E0cfff3f0/e2394d2bed409dd9.jpg,71816873165,https://item.jd.com/71816873165.html,不限,350×350,1457,203,13.93,251.64,172.71,1.24,4,5952.00,3,9595.00,7,15547.00,17,7,24,3.45,61.78,35.95,搜索,
71816873165-智能手表-copy-copy,3674858940,华为手表GT2,华为手表GT2,商品,有效,jfs/t1/171829/31/6451/171227/6084fb53E0cfff3f0/e2394d2bed409dd9.jpg,71816873165,https://item.jd.com/71816873165.html,不限,350×350,3327,156,4.69,85.40,25.67,0.55,4,5952.00,0,0.00,4,5952.00,13,2,15,2.56,69.70,21.35,商品,
10029156564195-智能手环,3624480360,华为手环6,华为手环6,商品,有效,jfs/t1/152761/31/11781/120245/6073a3b7E1f2d4738/9ec5983807410551.jpg,10029156564195,https://item.jd.com/10029156564195.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
